State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Alabama,MONTGAL - MONTGOMERY CO MAC SIM BUTLER D.F.,7,0%,0%,29%,71%
Alabama,MONTGAL - MONTGOMERY COUNTY JAIL,39,10%,0%,44%,46%
Alabama,MORGAAL - MORGAN COUNTY JAIL,73,0%,3%,1%,96%
Alabama,MRNGOAL - MARENGO COUNTY JAIL,1,100%,0%,0%,0%
Alabama,MRSHLAL - MARSHALL COUNTY JAIL,47,0%,0%,9%,91%
Alabama,NRTHPAL - NORTHPORT POLICE DEPT.,2,0%,0%,0%,100%
Alabama,OBECHAL - ORANGE BEACH POL. DEPT. CORR.,11,9%,0%,64%,27%
Alabama,OXFRDAL - OXFORD POLICE DEPT.,11,0%,0%,9%,91%
Alabama,PELHAAL - PELHAM POLICE DEPT/JAIL,39,0%,0%,5%,95%
Alabama,PIKCOAL - PIKE COUNTY JAIL,2,0%,0%,0%,100%
Alabama,PIKNSAL - PICKENS COUNTY DETENTION CENTER,5,0%,0%,0%,100%
Alabama,RANDOAL - RANDOLPH COUNTY JAIL,9,0%,0%,44%,56%
Alabama,RBCPDAL - RED BAY CITY POLICE DEPT.,4,0%,0%,0%,100%
Alabama,RBRDLAL - ROBERTSDALE POL. DEPT. JAIL,15,0%,0%,67%,33%
Alabama,RSLVLAL - RUSSELLVILLE POLICE DEPT.,9,0%,0%,0%,100%
Alabama,RUSSLAL - RUSSELL COUNTY JAIL,18,0%,0%,61%,39%
Alabama,SCOTTAL - SCOTTSBORO POLICE DEPT/JAIL,24,0%,0%,29%,71%
Alabama,SHELBAL - SHELBY COUNTY JAIL,101,4%,1%,2%,93%
Alabama,SRLNDAL - SARALAND POL DEPT JAIL,9,0%,0%,44%,56%
Alabama,STCLAAL - ST. CLAIR COUNTY JAIL,23,0%,0%,9%,91%
Alabama,TLDGAAL - TALLADEGA COUNTY JAIL,7,0%,0%,0%,100%
Alabama,TLPSAAL - TALLAPOOSA COUNTY JAIL,21,10%,0%,29%,62%
