State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Idaho,TETONID - TETON COUNTY JAIL,1,100%,0%,0%,0%
Idaho,TFALLID - TWIN FALLS COUNTY JAIL,102,0%,5%,69%,26%
Idaho,"USMID - US MARSHAL'S SERVICE, ID",39,28%,5%,46%,21%
Idaho,VALLEID - VALLEY COUNTY JAIL,13,0%,8%,23%,69%
Idaho,WASHCID - WASHINGTON COUNTY JAIL,10,0%,0%,50%,50%
Illinois,ADAMSIL - ADAMS COUNTY JAIL,8,0%,0%,25%,75%
Illinois,ADDSNIL - ADDISON POLICE DEPT.,2,0%,0%,0%,100%
Illinois,ARORAIL - AURORA POLICE DEPT.,33,3%,0%,33%,64%
Illinois,BLUPDIL - BLUE ISLAND P.D.,8,0%,0%,25%,75%
Illinois,BNSNVIL - BENSENVILLE POLICE DEPT.,1,0%,0%,0%,100%
Illinois,BOLNGIL - BOLINGBROOK POLICE DEPT.,3,0%,0%,33%,67%
Illinois,BOONEIL - BOONE COUNTY JAIL,22,0%,0%,32%,68%
Illinois,BOPCCC - CHICAGO MCC,75,31%,3%,23%,44%
Illinois,BOPGRE - GREENVILLE FCI,25,28%,12%,36%,24%
Illinois,BOPMAR - MARION USP,20,35%,5%,25%,35%
Illinois,BOPPEK - PEKIN FED.CORR.INST.,38,21%,8%,18%,53%
Illinois,BROPDIL - BROOKFIELD POLICE DEPT.,2,0%,0%,50%,50%
Illinois,BROWNIL - BROWN COUNTY JAIL,2,0%,0%,0%,100%
Illinois,BRWYNIL - BERWYN POLICE DEPT.,7,0%,0%,0%,100%
Illinois,BUREAIL - BUREAU COUNTY JAIL,7,14%,14%,0%,71%
Illinois,CALPDIL - CALUMET CITY P.D.,1,0%,0%,0%,100%
Illinois,CARROIL - CARROLL COUNTY JAIL,1,0%,0%,0%,100%
Illinois,"CCCHIIL - CATHOLIC CHARITIES, CHI",1,0%,0%,0%,100%
Illinois,CHAMPIL - CHAMPAIGN COUNTY JAIL,49,4%,0%,22%,73%
Illinois,CHIHOLD - CHICAGO HOLD ROOM,43,5%,0%,7%,88%
Illinois,CHSTRIL - CHESTER POLICE DEPT.,1,0%,0%,100%,0%
Illinois,CICROIL - CICERO POLICE DEPT.,19,0%,0%,0%,100%
Illinois,CLARKIL - CLARK COUNTY JAIL,5,0%,0%,40%,60%
Illinois,CLINTIL - CLINTON COUNTY JAIL,11,0%,9%,27%,64%
Illinois,COLESIL - COLES COUNTY JAIL,10,0%,10%,20%,70%
Illinois,COOKCIL - COOK COUNTY JAIL,"1,848",1%,1%,3%,95%
Illinois,CRBDLIL - CARBONDALE POLICE DEPT.,1,100%,0%,0%,0%
Illinois,CRLSTIL - CAROL STREAM POLICE DEPT.,3,0%,0%,100%,0%
Illinois,CRPVLIL - CARPENTERSVILLE POLICE DEPT.,9,11%,0%,33%,56%
Illinois,CUMBEIL - CUMBERLAND COUNTY JAIL,2,0%,0%,50%,50%
Illinois,DANVIIL - DANVILLE CORRECTIONS,4,0%,0%,0%,100%
Illinois,DEKABIL - DEKALB COUNTY JAIL,48,2%,6%,25%,67%
Illinois,DEWITIL - DEWITT COUNTY JAIL,3,0%,0%,33%,67%
Illinois,DOUGLIL - DOUGLAS COUNTY SHERIFF/JAIL,5,0%,0%,40%,60%
Illinois,DUPAGIL - DUPAGE COUNTY JAIL,"1,023",4%,4%,36%,56%
Illinois,EFINGIL - EFFINGHAM COUNTY SHERIFF,15,7%,0%,33%,60%
Illinois,ELGPDIL - ELGIN POLICE DEPT. JAIL,78,8%,4%,24%,64%
Illinois,FORDJIL - FORD COUNTY JAIL,3,33%,0%,33%,33%
Illinois,FRANKIL - FRANKLIN COUNTY JAIL,4,0%,0%,25%,75%
Illinois,FRVWHIL - FAIRVIEW HEIGHTS POLICE DEPT.,2,0%,0%,50%,50%
Illinois,FULTNIL - FULTON COUNTY JAIL,4,0%,0%,0%,100%
Illinois,GLHTSIL - GLENDALE HEIGHTS POLICE DEPT.,15,0%,7%,27%,67%
Illinois,GRNEEIL - GURNEE POLICE DEPT.,3,33%,0%,0%,67%
Illinois,HANCOIL - HANCOCK COUNTY JAIL,2,0%,0%,50%,50%
Illinois,HENRYIL - HENRY COUNTY JAIL,25,4%,4%,16%,76%
Illinois,HFMNSIL - HOFFMAN ESTATES POLICE DEPT.,3,0%,0%,0%,100%
Illinois,HNVPKIL - HANOVER PARK POLICE DEPT.,1,100%,0%,0%,0%
Illinois,IDISCIL - IDAHO STATE CORR. FAC.-LIMITED,18,17%,6%,56%,22%
Illinois,ILBIGCC - BIG MUDDY CORRECTIONAL CT,3,67%,0%,0%,33%
Illinois,ILCENCC - CENTRALIA CORRECTIONS CTR,1,100%,0%,0%,0%
Illinois,ILDANVI - DANVILLE CORRECTIONAL CENTER,2,0%,0%,50%,50%
Illinois,ILDECAT - DECATUR CORRECTIONAL CENTER,6,0%,0%,50%,50%
Illinois,ILDIXON - DIXON CORRECTIONAL CENTER,4,50%,0%,25%,25%
Illinois,ILDWIGC - DWIGHT CORRECTIONS,23,13%,0%,4%,83%
Illinois,ILEMOLC - EAST MOLINE CORRECTIONS,6,17%,17%,0%,67%
Illinois,ILGRAHC - GRAHAM CORRECTIONS,20,25%,5%,20%,50%
Illinois,"ILHILLC - HILL CORR., GALESBURG, IL",1,100%,0%,0%,0%
Illinois,ILJACKS - JACKSONVILLE CORRECTIONAL CENTER,1,100%,0%,0%,0%
Illinois,ILLAWRE - LAWRENCE CORRECTION CENTER,4,0%,0%,0%,100%
Illinois,ILLINCC - LINCOLN CORRECTIONS CTR,6,17%,17%,17%,50%
Illinois,ILLOGCC - LOGAN CORRECTIONAL CENTER,7,14%,0%,43%,43%
Illinois,ILMENCC - MENARD CORRECTIONAL CTR,2,50%,0%,0%,50%
Illinois,ILPICKN - PICKNEYVILLE CORRECTIONAL CENTER,6,0%,0%,50%,50%
Illinois,ILPONCC - PONTIAC CORRECTIONS CTR,1,0%,0%,0%,100%
Illinois,ILRIVEC - ILLINOIS RIVER CORRECTION,10,20%,10%,10%,60%
Illinois,ILROBIC - ROBINSON CORRECTIONAL,7,29%,0%,14%,57%
Illinois,ILSHAWC - SHAWNEE CORRECTIONS,5,60%,0%,20%,20%
Illinois,ILSHECC - SHERIDAN CORRECTIONAL CTR,3,67%,0%,0%,33%
Illinois,ILSTATC - STATEVILLE CORRECTIONS,"1,297",10%,2%,19%,69%
Illinois,ILTAYOC - TAYLORVILLE CORRECTIONS,3,33%,33%,0%,33%
Illinois,ILVIENC - VIENNA CORRECTIONAL,1,0%,0%,0%,100%
Illinois,ILWESTC - WESTERN IL. CORRECTIONAL,2,50%,0%,0%,50%
Illinois,ITSCAIL - ITASCA POLICE DEPT.,4,0%,0%,0%,100%
Illinois,JACKSIL - JACKSONVILLE CORRECTIONAL,1,0%,0%,0%,100%
Illinois,JEFFEIL - JEFFERSON COUNTY JAIL,3,0%,0%,0%,100%
Illinois,JODVSIL - JO DAVIESS COUNTY JAIL,12,0%,0%,17%,83%
Illinois,KANECIL - KANE COUNTY JAIL,551,4%,6%,34%,57%
Illinois,KANKEIL - KANKAKEE COUNTY JAIL,12,0%,0%,0%,100%
Illinois,KENDLIL - KENDALL COUNTY SHERIFF,13,0%,15%,15%,69%
Illinois,KNOXCIL - KNOX COUNTY JAIL,11,0%,0%,9%,91%
Illinois,LAKCOIL - LAKE COUNTY JAIL,707,4%,3%,33%,60%
Illinois,LASALIL - LASALLE COUNTY JAIL,10,0%,0%,20%,80%
Illinois,LEECJIL - LEE COUNTY JAIL,6,17%,0%,33%,50%
Illinois,LMBRDML - LOMBARD POLICE DEPT.,2,0%,50%,0%,50%
Illinois,LNCSHIL - LINCOLNSHIRE POLICE DEPT.,3,0%,0%,33%,67%
Illinois,LYNWDIL - LYNWOOD POLICE DEPT.,4,0%,0%,25%,75%
Illinois,MACONIL - MACON COUNTY JUVENILE FAC.,3,0%,0%,0%,100%
Illinois,MADISIL - MADISON COUNTY DET. HOME,41,2%,0%,5%,93%
Illinois,MARIOIL - MARION COUNTY SHERIFF,7,14%,0%,14%,71%
Illinois,MCDNOIL - MCDONOUGH COUNTY JAIL,2,0%,0%,50%,50%
Illinois,MCHENIL - MCHENRY COUNTY SHERIFF'S,287,2%,3%,42%,52%
Illinois,MCHRYIL - MCHENRY POLICE DEPT.,1,0%,0%,100%,0%
Illinois,MCLEAIL - MCLEAN COUNTY JAIL,177,3%,2%,42%,53%
Illinois,MCNCOIL - MACON COUNTY JAIL,17,0%,0%,29%,71%
Illinois,MDSONIL - MADISON COUNTY SHERIFF,14,14%,0%,21%,64%
Illinois,MERCEIL - MERCER COUNTY CORRECTIONS,3,0%,0%,0%,100%
Illinois,MLROSIL - MELROSE PARK POLICE DEPT.,3,0%,0%,0%,100%
Illinois,MONROIL - MONROE COUNTY JAIL,1,0%,0%,100%,0%
Illinois,MUNPDIL - MUNDELEIN POLICE DEPT.,9,0%,0%,44%,56%
Illinois,NILESIL - NILES POLICE DEPT.,21,0%,5%,5%,90%
Illinois,NOCPDIL - NORTH CHICAGO P.D.,4,0%,0%,25%,75%
Illinois,NPRVLIL - NAPERVILLE POLICE DEPT.,10,0%,0%,30%,70%
Illinois,OFLLNIL - O'FALLON POLICE DEPT.,3,33%,0%,33%,33%
Illinois,OGLECIL - OGLE COUNTY JAIL,66,2%,0%,8%,91%
Illinois,ORLPKIL - ORLAND PARK POLICE DEPT.,2,0%,0%,50%,50%
Illinois,PALTNIL - PALATINE POLICE DEPT.,5,0%,0%,20%,80%
Illinois,PERRYIL - PERRY COUNTY JAIL,5,0%,0%,40%,60%
Illinois,PIATTIL - PIATT COUNTY JAIL,9,0%,0%,22%,78%
Illinois,PORIAIL - PEORIA COUNTY JAIL,43,2%,5%,7%,86%
Illinois,PUTNMIL - PUTNAM COUNTY JAIL,2,0%,0%,50%,50%
Illinois,RANDOIL - RANDOLPH COUNTY SHERIFF,14,0%,0%,36%,64%
Illinois,RCKISIL - ROCK ISLAND CORRECTIONAL CENTER,4,0%,0%,25%,75%
Illinois,RDLPDIL - ROUND LAKE BEACH POLICE DEPT.,2,0%,0%,50%,50%
Illinois,RIIHOLD - ROCK ISLAND HOLD ROOM,6,0%,0%,0%,100%
Illinois,RLMDWIL - ROLLING MEADOWS POLICE DEPT.,11,0%,0%,9%,91%
Illinois,ROCKIIL - ROCK ISLAND COUNTY JAIL,72,1%,1%,13%,85%
Illinois,SANJAIL - SANGAMON COUNTY JAIL,18,0%,0%,11%,89%
Illinois,SCHLSIL - ST CHARLES POLICE DEPT,3,0%,0%,0%,100%
Illinois,SCYLRIL - SCHUYLER COUNTY JAIL,5,0%,20%,20%,60%
Illinois,SHLNDIL - SOUTH HOLLAND POLICE DEPT.,2,0%,0%,0%,100%
Illinois,SKOKIIL - SKOKIE POLICE DEPT.,1,0%,0%,0%,100%
Illinois,SLGINIL - SOUTH ELGIN POLICE DEPT.,1,0%,0%,0%,100%
Illinois,STARKIL - STARK COUNTY JAIL,2,0%,0%,50%,50%
Illinois,STCLAIL - ST CLAIR COUNTY JAIL,80,0%,3%,21%,76%
Illinois,STOPDIL - STONE PARK POLICE DEPT.,4,0%,0%,25%,75%
Illinois,STPHNIL - STEPHENSON COUNTY JAIL,25,0%,0%,4%,96%
Illinois,TNLPKIL - TINLEY PARK POLICE DEPT.,1,0%,0%,0%,100%
Illinois,TRICOIL - TRI-COUNTY JAIL,8,13%,25%,25%,38%
Illinois,"USMNDIL - US MARSHAL, N. DIST IL",142,42%,4%,30%,25%
Illinois,"USMSDIL - US MARSHALS, S. DISTRICT, IL",75,13%,11%,41%,35%
Illinois,VERMIIL - VERMILION COUNTY JAIL,5,0%,0%,60%,40%
Illinois,VLAPKIL - VILLA PARK POLICE DEPT.,2,0%,0%,100%,0%
Illinois,WARRNIL - WARREN COUNTY JAIL,12,0%,0%,17%,83%
Illinois,WASHIIL - WASHINGTON COUNTY SHERIFF,5,0%,0%,40%,60%
Illinois,WAUKEIL - WAUKEGAN CITY JAIL,4,0%,0%,25%,75%
Illinois,WCHSTIL - WESTCHESTER POLICE DEPT.,1,0%,0%,0%,100%
Illinois,WDRDGIL - WOODRIDGE POLICE DEPT.,7,14%,0%,57%,29%
Illinois,WHETNIL - WHEATON POLICE DEPT.,1,0%,0%,0%,100%
Illinois,WHITEIL - WHITE COUNTY SHERIFF/JAIL,2,0%,0%,0%,100%
Illinois,WHTSDIL - WHITESIDE COUNTY JAIL,6,0%,0%,0%,100%
Illinois,WILLCIL - WILL COUNTY SHERIFF,429,3%,3%,32%,62%
Illinois,WILLIIL - WILLIAMSON COUNTY SHERIFF & JAIL,8,0%,0%,25%,75%
Illinois,WNBGOIL - WINNEBAGO COUNTY SHERIFF,152,7%,2%,28%,64%
Indiana,ADAMSIN - ADAMS COUNTY JAIL,4,0%,0%,0%,100%
Indiana,ALLENIN - ALLEN COUNTY JAIL,79,4%,5%,24%,67%
Indiana,BARTHIN - BARTHOLOMEW COUNTY SHERIFF/JAIL,288,1%,0%,10%,88%
Indiana,BLKFDIN - BLACKFORD COUNTY JAIL,1,0%,0%,0%,100%
Indiana,BOONEIN - BOONE COUNTY SHERIFF/JAIL,37,0%,0%,0%,100%
Indiana,BOPTHA - TERRE HAUTE USP,21,29%,5%,14%,52%
Indiana,CASSCIN - CASS COUNTY SHERIFF,26,8%,0%,8%,85%
Indiana,CLAJUIN - CLARK COUNTY JUVENILE,1,0%,0%,0%,100%
Indiana,CLARKIN - CLARK COUNTY JAIL,62,3%,0%,27%,69%
Indiana,CLAYCIN - CLAY COUNTY JUSTICE CENTER,1,0%,0%,0%,100%
Indiana,CLINTIN - CLINTON COUNTY JAIL,201,2%,1%,18%,78%
Indiana,DAVIEIN - DAVIESS COUNTY JAIL,27,4%,0%,7%,89%
Indiana,DEKALIN - DEKALB COUNTY JAIL,3,0%,33%,33%,33%
Indiana,DELAWIN - DELAWARE COUNTY JAIL,8,25%,0%,25%,50%
Indiana,DUBCOIN - DUBOIS COUNTY CORR. FAC.,20,5%,10%,10%,75%
Indiana,ELKHAIN - ELKHART COUNTY JAIL,208,4%,2%,10%,84%
Indiana,ELKRTIN - ELKHART POLICE DEPT.,9,0%,0%,0%,100%
Indiana,FLOYDIN - FLOYD COUNTY JAIL,63,3%,3%,27%,67%
Indiana,GIBSNIN - GIBSON COUNTY JAIL,11,0%,0%,18%,82%
Indiana,GRANTIN - GRANT COUNTY JAIL,7,0%,0%,0%,100%
Indiana,GREENIN - GREEN COUNTY JAIL,3,0%,0%,0%,100%
Indiana,HAMILIN - HAMILTON COUNTY JAIL,40,3%,0%,20%,78%
Indiana,HANCOIN - HANCOCK COUNTY JAIL,16,6%,0%,31%,63%
Indiana,HENDRIN - HENDRICKS COUNTY SHERIFF/JAIL,11,0%,0%,9%,91%
Indiana,HENRYIN - HENRY COUNTY JAIL,9,0%,0%,11%,89%
Indiana,HOBRTIN - HOBART POLICE DEPT.,1,0%,0%,100%,0%
Indiana,HOWARIN - HOWARD COUNTY SHERIFF/JAIL,9,0%,0%,33%,67%
Indiana,HUNTNIN - HUNTINGTON COUNTY JAIL,6,0%,0%,0%,100%
Indiana,"INCCPLA - INDIANA CC, PLAINFIELD,IN",7,29%,0%,0%,71%
Indiana,INDCMIC - IN DEPT. OF CORRECTIONS,7,14%,14%,14%,57%
Indiana,ININDUS - CORRECTIONAL INDUSTRIAL FACILITY,2,0%,0%,0%,100%
Indiana,INMIAMI - MIAMI CORRECTIONAL CENTER,4,0%,25%,25%,50%
Indiana,INPENCF - PENDLETON CORR.FACILITY,1,0%,0%,0%,100%
Indiana,INPHOLD - INDIANAPOLIS HOLD ROOM,21,0%,0%,0%,100%
Indiana,INPUTCI - PUTNAMVILLE CORR. INST.,2,0%,0%,50%,50%
Indiana,INREDIA - INDIANA REC.& DIAGNOSTIC,246,33%,5%,28%,33%
Indiana,INROCKV - ROCKVILLE CORR. FACILITY,1,0%,0%,0%,100%
Indiana,INWABAS - WABASH VALLEY CORRECTONAL CENTER,1,0%,0%,0%,100%
Indiana,INWESTV - WESTVILLE CORR. CENTER,1,0%,0%,100%,0%
Indiana,JACKSIN - JACKSON COUNTY JAIL,68,6%,3%,24%,68%
Indiana,JASPEIN - JASPER COUNTY SHERIFF/JAIL,3,33%,0%,0%,67%
Indiana,JAYCOIN - JAY COUNTY JAIL,2,0%,0%,0%,100%
Indiana,JOHNSIN - JOHNSON CO SHERIFF'S DEPT,317,1%,1%,16%,82%
Indiana,KNOXCIN - KNOX COUNTY JAIL,16,6%,0%,19%,75%
Indiana,KOSCOIN - KOSCIUSKO COUNTY JAIL,36,3%,0%,22%,75%
Indiana,LAKECIN - LAKE COUNTY JAIL,59,5%,2%,22%,71%
Indiana,MADISIN - MADISON COUNTY JAIL,20,5%,5%,5%,85%
Indiana,MARIOIN - MARION COUNTY JAIL,"1,550",3%,4%,30%,64%
Indiana,MARTIIN - MARTIN COUNTY JAIL,1,0%,0%,100%,0%
Indiana,MONROIN - MONROE COUNTY JAIL,21,0%,5%,24%,71%
Indiana,MORGAIN - MORGAN COUNTY JAIL,7,0%,0%,0%,100%
Indiana,NEWTOIN - NEWTON COUNTY JAIL,13,0%,8%,15%,77%
Indiana,NOBLEIN - NOBLE COUNTY JAIL,21,5%,0%,14%,81%
Indiana,ORANGIN - ORANGE COUNTY JAIL,3,0%,0%,33%,67%
Indiana,OWENCIN - OWEN COUNTY JAIL,4,0%,0%,0%,100%
Indiana,PIKCOIN - PIKE COUNTY JAIL,3,0%,0%,0%,100%
Indiana,PORTRIN - PORTER COUNTY SHERIFF,13,0%,15%,8%,77%
Indiana,POSEYIN - POSEY COUNTY JAIL,2,0%,0%,100%,0%
Indiana,RANDOIN - RANDOLPH COUNTY JAIL,8,0%,0%,13%,88%
Indiana,SHELBIN - SHELBY COUNTY JAIL,23,0%,22%,30%,48%
Indiana,STJOSIN - ST. JOSEPH COUNTY JAIL,96,4%,1%,6%,89%
Indiana,SULLIIN - SULLIVAN COUNTY JAIL,2,0%,0%,50%,50%
Indiana,TIPPEIN - TIPPECANOE COUNTY JAIL,147,5%,2%,20%,72%
Indiana,VANDEIN - VANDERBURG COUNTY JAIL,47,2%,0%,38%,60%
Indiana,WARRIIN - WARRICK COUNTY JAIL,6,0%,0%,0%,100%
Indiana,WELLSIN - WELLS COUNTY JAIL,1,0%,0%,0%,100%
Indiana,WHITLIN - WHITLEY COUNTY JAIL,4,0%,0%,0%,100%
Iowa,ADAMSIA - ADAMS COUNTY JAIL,1,0%,0%,100%,0%
Iowa,ALAMKIA - ALLAMAKEE COUNTY JAIL,6,17%,0%,17%,67%
Iowa,BENTOIA - BENTON CO JAIL,10,0%,10%,10%,80%
Iowa,BLACKIA - BLACK HAWK CO JAIL,79,4%,6%,27%,63%
Iowa,"BREMEIA - BREMER CO JAIL, IOWA",1,0%,0%,100%,0%
Iowa,BUENAIA - BUENA VISTA CO JAIL,50,8%,6%,30%,56%
Iowa,CARROIA - CARROL COUNTY JAIL,11,27%,0%,27%,45%
Iowa,"CASSCIA - CASS CO, IA, CORR FACILIT",7,29%,14%,14%,43%
Iowa,CEGORIA - CERRO GORDO COUNTY,29,0%,3%,41%,55%
Iowa,CHEROIA - CHEROKEE COUNTY SHERIFF'S OFFICE,4,0%,0%,25%,75%
Iowa,CLARKIA - CLARKE CO SHERIFF,8,0%,0%,25%,75%
Iowa,CLAYJIA - CLAY CO JAIL,27,11%,4%,19%,67%
Iowa,CLINTIA - CLINTON COUNTY JAIL,25,4%,0%,36%,60%
Iowa,CLYTNIA - CLAYTON COUNTY JAIL,11,0%,0%,18%,82%
Iowa,CRAWFIA - CRAWFORD COUNTY JAIL,50,8%,8%,14%,70%
Iowa,CRIHOLD - CEDAR RAPIDS HOLD ROOM,4,0%,0%,0%,100%
Iowa,DALCOIA - DALLAS COUNTY SHERIFF'S OFFICE,28,11%,18%,25%,46%
Iowa,DELAWIA - DELAWARE COUNTY JAIL,2,0%,50%,0%,50%
Iowa,DICKIIA - DICKINSON COUNTY JAIL,10,0%,0%,10%,90%
Iowa,DSMHOLD - DES MOINES HOLD ROOM,5,0%,0%,40%,60%
Iowa,"DUBUQIA - DUBUQUE COUNTY JAIL, IOWA",68,3%,0%,28%,69%
Iowa,EMMETIA - EMMET COUNTY JAIL,17,6%,6%,12%,76%
Iowa,FAYETIA - FAYETTE COUNTY JAIL,9,11%,0%,44%,44%
Iowa,FESMOIA - DES MOINES COUNTY JAIL,1,0%,0%,0%,100%
Iowa,"FLOYDIA - FLOYD COUNTY, IOWA JAIL",6,0%,0%,33%,67%
Iowa,FRANKIA - FRANKLIN COUNTY JAIL,21,0%,5%,24%,71%
Iowa,FREMOIA - FREMONT COUNTY SHERIFF,4,0%,0%,0%,100%
Iowa,GREENIA - GREENE COUNTY JAIL,1,0%,0%,0%,100%
Iowa,HAMILIA - HAMILTON COUNTY JAIL,56,2%,0%,38%,61%
Iowa,HANCOIA - HANCOCK COUNTY JAIL,14,0%,0%,14%,86%
Iowa,HARDJIA - HARDIN CO JAIL,26,15%,4%,23%,58%
Iowa,HARRJIA - HARRISON COUNTY JAIL,11,0%,0%,45%,55%
Iowa,HENRYIA - HENRY CO JAIL,35,9%,6%,20%,66%
Iowa,HOWARIA - HOWARD COUNTY JAIL,3,0%,0%,67%,33%
Iowa,HUMBOIA - HUMBOLDT CO JAIL,14,0%,0%,0%,100%
Iowa,IACLARI - CLARINDA CORR. TREAT. FAC.,1,0%,100%,0%,0%
Iowa,IACMTPL - MT PLEASANT CORRECTIONAL,1,0%,0%,100%,0%
Iowa,IAMCOAK - IOWA MEDICAL CLASSIF CTR,156,35%,6%,21%,38%
Iowa,IARCNEW - NEWTON CORR'L RELEASE CTR,4,25%,0%,25%,50%
Iowa,IASPANA - ANAMOSA STATE PENITENTIAR,2,50%,0%,50%,0%
Iowa,IASPFTM - IOWA STATE PENITENTIARY,2,50%,0%,0%,50%
Iowa,IDACOIA - IDA COUNTY JAIL,6,0%,0%,50%,50%
Iowa,IOWACIA - IOWA COUNTY JAIL,2,0%,0%,0%,100%
Iowa,JASPEIA - JASPER CO JAIL,4,0%,0%,25%,75%
Iowa,JEFFEIA - JEFFERSON COUNTY JAIL,1,0%,0%,0%,100%
Iowa,JOHNSIA - JOHNSON COUNTY JAIL,135,4%,5%,27%,64%
Iowa,JONESIA - JONES COUNTY JAIL,1,0%,0%,0%,100%
Iowa,LEECOIA - LEE COUNTY SHERIFF/JAIL,1,0%,0%,0%,100%
Iowa,LINNJIA - LINN COUNTY JAIL,206,3%,4%,34%,58%
Iowa,LOUISIA - LOUISA COUNTY JAIL,30,3%,3%,33%,60%
Iowa,LYONJIA - LYON COUNTY JAIL,18,0%,6%,28%,67%
Iowa,MADISIA - MADISON COUNTY JAIL,2,50%,0%,0%,50%
Iowa,MARIOIA - MARION COUNTY JAIL,9,0%,0%,22%,78%
Iowa,MARSHIA - MARSHALL COUNTY JAIL,103,3%,1%,16%,81%
Iowa,MILLSIA - MILLS COUNTY JAIL,3,0%,0%,33%,67%
Iowa,"MONONIA - MONONA COUNTY JAIL, IOWA",1,0%,0%,0%,100%
Iowa,MONTGIA - MONTGOMERY COUNTY JAIL,6,17%,0%,17%,67%
Iowa,MUSCAIA - MUSCATINE COUNTY JAIL,138,7%,6%,19%,69%
Iowa,"OBRIJIA - OBRIEN CO JAIL, IOWA",33,0%,0%,18%,82%
Iowa,OSCEOIA - OSCEOLA CO JAIL,22,5%,5%,5%,86%
Iowa,PAGCOIA - PAGE COUNTY JAIL,2,0%,0%,50%,50%
Iowa,PCHNTIA - POCAHONTAS COUNTY JAIL,4,0%,0%,50%,50%
Iowa,PERRYIA - PERRY POLICE DEPT.,2,0%,0%,0%,100%
Iowa,PLYMOIA - PLYMOUTH COUNTY SHERIFF/JAIL,16,0%,0%,25%,75%
Iowa,POLKJIA - POLK COUNTY JAIL,488,4%,2%,23%,70%
Iowa,POTTAIA - POTTAWATTAMIE COUNTY JAIL,107,1%,0%,24%,75%
Iowa,POWESIA - POWESHIEK COUNTY JAIL,1,100%,0%,0%,0%
Iowa,PUBLIIA - PUBLIC SAFETY CENTER,1,100%,0%,0%,0%
Iowa,SACCOIA - SAC COUNTY JAIL,28,11%,11%,36%,43%
Iowa,SCOTTIA - SCOTT COUNTY DET.FACILITY,103,2%,3%,19%,76%
Iowa,"SHELBIA - SHELBY COUNTY JAIL, IOWA",11,9%,0%,9%,82%
Iowa,SIOUXIA - SIOUX COUNTY JAIL,128,7%,8%,18%,67%
Iowa,SPNCRIA - SPENCER POLICE DEPT.,1,0%,0%,0%,100%
Iowa,STORYIA - STORY COUNTY JAIL,28,7%,4%,36%,54%
Iowa,SXCHOLD - SIOUX CITY HOLD ROOM,2,0%,0%,0%,100%
Iowa,TAMAJIA - TAMA CO JAIL,29,14%,0%,24%,62%
Iowa,TAYLOIA - TAYLOR COUNTY COURTHOUSE,4,0%,0%,0%,100%
Iowa,"USMNDIA - US MARSHALS, N. DIST. IA",74,19%,12%,58%,11%
Iowa,"USMSDIA - US MARSHALS, S. DIST. IA",40,23%,5%,50%,23%
Iowa,USMSXIA - US MARSHAL SIOUX CITY,45,18%,2%,36%,44%
Iowa,VANBUIA - VAN BUREN COUNTY JAIL,1,0%,0%,0%,100%
Iowa,WAPLOIA - WAPELLO COUNTY JAIL,15,7%,0%,20%,73%
Iowa,WARREIA - WARREN COUNTY JAIL,6,0%,0%,0%,100%
Iowa,WASHCIA - WASHINGTON COUNTY JAIL,17,18%,0%,24%,59%
Iowa,WEBCOIA - WEBSTER COUNTY JAIL,6,0%,0%,17%,83%
Iowa,WNBGOIA - WINNEBAGO COUNTY SHERIFF/JAIL,8,0%,0%,0%,100%
Iowa,WOJUVIA - WOODBURY CO JUV DET CNTR.,1,0%,0%,0%,100%
Iowa,WOODBIA - WOODBURY COUNTY JAIL,171,5%,3%,33%,59%
Iowa,WORTHIA - WORTH COUNTY JAIL,2,0%,0%,100%,0%
Iowa,WRIGHIA - WRIGHT COUNTY JAIL,63,0%,6%,19%,75%
Kansas,ATCHIKS - ATCHISON COUNTY SHERIFF'S OFFICE,3,0%,0%,0%,100%
Kansas,BARBRKS - BARBER COUNTY JAIL,1,0%,0%,0%,100%
Kansas,BARTOKS - BARTON COUNTY JAIL,77,0%,1%,18%,81%
Kansas,BOPLVN - LEAVENWORTH USP,64,23%,3%,22%,52%
Kansas,BUTLEKS - BUTLER COUNTY JAIL,11,0%,18%,9%,73%
Kansas,CCALEKS - CORR. CORP. OF AMERICA,22,14%,0%,5%,82%
Kansas,CHASEKS - CHASE COUNTY JAIL,2,0%,0%,0%,100%
Kansas,CHEROKS - CHEROKEE COUNTY JAIL,31,0%,0%,19%,81%
Kansas,CLARKKS - CLARK COUNTY JAIL,2,0%,0%,0%,100%
Kansas,CLOUDKS - CLOUD COUNTY JAIL,3,0%,33%,0%,67%
Kansas,COFFYKS - COFFEY COUNTY SHERIFF'S OFFICE,1,0%,0%,0%,100%
Kansas,COWLYKS - COWLEY COUNTY JAIL,31,3%,3%,26%,68%
Kansas,CRAWFKS - CRAWFORD COUNTY SHERIFF,33,0%,3%,6%,91%
Kansas,DICKIKS - DICKINSON COUNTY JAIL,8,0%,0%,25%,75%
Kansas,DNOHNKS - DONIPHAN COUNTY SHERIFF'S OFFICE,1,0%,0%,100%,0%
Kansas,ELLISKS - ELLIS COUNTY JAIL,19,0%,0%,21%,79%
Kansas,FINNEKS - FINNEY COUNTY JAIL,105,1%,2%,28%,70%
Kansas,FORDJKS - FORD COUNTY JAIL,163,4%,2%,37%,56%
Kansas,FRANKKS - FRANKLIN COUNTY JAIL,1,0%,0%,0%,100%
Kansas,GEARYKS - GEARY COUNTY JAIL,22,9%,5%,14%,73%
